STATUS | wrapper  | 2010/10/19 16:44:17 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2010/10/19 16:44:18 | Launching a JVM...
INFO   | jvm 1    | 2010/10/19 16:44:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2010/10/19 16:44:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2010/10/19 16:44:19 | 
INFO   | jvm 1    | 2010/10/19 16:44:19 | Using database at [neo4j-rest-db]
INFO   | jvm 1    | 2010/10/19 16:44:19 | Running server at [http://localhost:9999/]
INFO   | jvm 1    | 2010/10/19 16:44:19 | 2010-10-19 16:44:19.648:INFO::Logging to STDERR via org.mortbay.log.StdErrLog
INFO   | jvm 1    | 2010/10/19 16:44:19 | 2010-10-19 16:44:19.802:INFO::jetty-6.1.25
INFO   | jvm 1    | 2010/10/19 16:44:19 | 2010-10-19 16:44:19.895:INFO::Started SocketConnector@0.0.0.0:9999
INFO   | jvm 1    | 2010/10/19 16:44:19 | Press Ctrl-C to kill the server
INFO   | jvm 1    | 2010/10/19 16:44:34 | 19/10/2010 16:44:34 com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2010/10/19 16:44:34 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2010/10/19 16:44:34 |   org.neo4j.rest.web
INFO   | jvm 1    | 2010/10/19 16:44:34 | 19/10/2010 16:44:34 com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2010/10/19 16:44:34 | INFO: Root resource classes found:
INFO   | jvm 1    | 2010/10/19 16:44:34 |   class org.neo4j.rest.web.JsonAndHtmlWebService
INFO   | jvm 1    | 2010/10/19 16:44:34 |   class org.neo4j.rest.web.ResourcesService
INFO   | jvm 1    | 2010/10/19 16:44:34 | 19/10/2010 16:44:34 com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2010/10/19 16:44:34 | INFO: Provider classes found:
